_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
18662,616,10430692,Kohai Educational Centre School,,PR,,2010 Yonge St,Priv,10430692,2010,Yonge St,2010 Yonge St,M4S 1Z9,former Toronto,Toronto,,115001,10430691,2010,,,,4733,313046.76,4839894.32,43.700959716899995,-79.397490587,POINT (-79.3974873439643 43.7009511259468)
18663,617,559929,La Citadelle International Academy of Arts and Sciences,,PR,,36 Scarsdale Rd,Priv,559929,36,Scarsdale Rd,36 Scarsdale Rd,M3B 2R7,North York,Toronto,,113001,30084194,36,,,,6662,316485.781,4845066.212,43.747459286,-79.354707432,POINT (-79.35470743712955 43.74745928403478)
18664,618,32143,La Mosaique Elementary School,,FP,Conseil scolaire Viamonde,80 Queensdale Ave,French Public,32143,80,Queensdale Ave,80 Queensdale Ave,M4J 1Y3,East York,Toronto,Ecole elementaire La Mosaique,102005,1795,80,,,,295,318446.182,4838389.848999999,43.6873390493,-79.3305382065,POINT (-79.33053498853185 43.68733045464834)
18665,619,1011402,Lakeshore Collegiate Institute,,EP,Toronto District School Board,350 Kipling Ave,English Public,1011402,350,Kipling Ave,350 Kipling Ave,M8V 3L1,Etobicoke,Toronto,Lakeshore Collegiate Institute,102002,914446,350,,,,1935,303237.26,4828847.968,43.6015719891,-79.51916391270001,POINT (-79.51916063706679 43.60156342423132)
18666,620,2921932,Lakeshore LINC Centre,,EP,Toronto District School Board,2275 Lakeshore Blvd W,English Public,2921932,2275,Lake Shore Blvd W,2275 Lake Shore Blvd W,M8V 3Y3,Etobicoke,Toronto,,104008,14660388,2275,,,,1962,305967.42100000003,4830847.969,43.619575104300004,-79.4853413072,POINT (-79.4853380484988 43.61956653310897)
18667,621,534646,Lamberton Public School,,EP,Toronto District School Board,33 Lamberton Blvd,English Public,534646,33,Lamberton Blvd,33 Lamberton Blvd,M3J 1G6,North York,Toronto,Lamberton Public School,102001,440937,33,,,,5999,304556.897,4845744.255,43.753662891800005,-79.5028277727,POINT (-79.5028244891368 43.75365430182762)
18668,622,7033947,Lambton Kingsway Jr Middle School,,EP,Toronto District School Board,525 Prince Edward Dr N,English Public,7033947,525,Prince Edward Dr N,525 Prince Edward Dr N,M8X 2M6,Etobicoke,Toronto,Lambton-Kingsway Junior Middle School,102001,7033940,525,,,,10300,304032.701,4835190.709,43.6586658017,-79.5093180864,POINT (-79.50931480733438 43.6586572209274)
18669,623,52404,Lambton Park Community School,,EP,Toronto District School Board,50 Bernice Cres,English Public,52404,50,Bernice Cres,50 Bernice Cres,M6N 1W9,York,Toronto,Lambton Park Community School,102001,9328,50,,,,445,304920.561,4836181.437,43.66758456189999,-79.49831075770001,POINT (-79.49830748713656 43.66757598172368)
18670,624,312017,L'Amoreaux Collegiate Institute,,EP,Toronto District School Board,2501 Bridletowne Circle,English Public,312017,2501,Bridletowne Crcl,2501 Bridletowne Crcl,M1W 2K1,Scarborough,Toronto,Lamoreaux Collegiate Institute,102002,104968,2501,,,,7426,319422.75399999996,4851233.274,43.802926378500004,-79.31807697720001,POINT (-79.31807374717012 43.80291776813997)
18671,625,7641687,Lanor Jr Middle School,,EP,Toronto District School Board,450 Lanor  Ave,English Public,7641687,450,Lanor Ave,450 Lanor Ave,M8W 2S1,Etobicoke,Toronto,Lanor Junior Middle School,102001,7641688,450,,,,1972,301170.211,4829748.966,43.609675288999995,-79.5447728418,POINT (-79.54476956292044 43.60966672517201)
18672,626,30022744,Laure Riese Elementary School,,FP,Conseil scolaire Viamonde,339 Alton Towers Crcl,French Public,30022744,339,Alton Towers Crcl,339 Alton Towers Crcl,M1V 4L3,Scarborough,Toronto,,115001,30021292,339,,,,9520,322687.983,4853412.566000001,43.822462605,-79.27742207,POINT (-79.27742206640119 43.82246260557171)
18673,627,4833177,Laureate International College Secondary School,,PR,,240 Duncan Mill Rd,Priv,4833177,240,Duncan Mill Rd,240 Duncan Mill Rd,M3B 3S6,North York,Toronto,,104008,30005251,240,,,,5455,316744.969,4846706.53,43.762228523299996,-79.35145636979999,POINT (-79.35145313912423 43.76221992281412)
18674,628,10379215,Lawrence Heights Middle School,,EP,Toronto District School Board,50 Highland Hill,English Public,10379215,50,Highland Hill,50 Highland Hill,M6A 2R1,North York,Toronto,Lawrence Heights Middle School,102001,10379214,50,,,,5833,308726.14,4842099.032,43.720840841400005,-79.4510805133,POINT (-79.45107725088822 43.72083225438229)
18675,629,8344129,Lawrence Park Collegiate Institute,,EP,Toronto District School Board,125 Chatsworth Dr,English Public,8344129,125,Chatsworth Dr,125 Chatsworth Dr,M4R 1S1,former Toronto,Toronto,Lawrence Park Collegiate Institute,102002,8344132,125,,,,3149,312000.34,4842256.284,43.722231298500006,-79.410442321,POINT (-79.41043907749423 43.72222270516447)
18676,630,12387710,Le College Francais,,FP,Conseil scolaire Viamonde,100 Carlton St,French Public,12387710,100,Carlton St,100 Carlton St,M5B 1M3,former Toronto,Toronto,College Francais,115001,12387707,100,,,,3116,314631.191,4835623.348999999,43.662496823699996,-79.3779101931,POINT (-79.37790695605561 43.6624882444907)
18677,631,1009107,Learning Jungle Childcare - Briarcrest,,PR,,1982 Islington Ave,Priv,1009107,1982,Islington Ave,1982 Islington Ave,M9P 3N5,Etobicoke,Toronto,,112001,908664,1982,,,,1863,301055.44899999996,4839262.428,43.6953070741,-79.5462608529,POINT (-79.54625756586144 43.69529848934078)
18678,632,7792249,Learning Jungle Childcare - Buttonwood,,PR,,100 Allanhurst Dr,Priv,7792249,100,Allanhurst Dr,100 Allanhurst Dr,M9A 4K4,Etobicoke,Toronto,Leonardo Da Vinci Academy,102001,7792240,100,,,,1031,303214.017,4837578.3610000005,43.680156213500005,-79.51947679850001,POINT (-79.51947351785886 43.68014763719978)
18679,633,9467864,Learning Jungle Childcare - Kennedy,,PR,,3376 Kennedy  Rd,Priv,9467864,3376,Kennedy Rd,3376 Kennedy Rd,M1V 3S8,Scarborough,Toronto,,115001,9467832,3376,,,,8224,320474.283,4852936.416999999,43.818235115,-79.3049595099,POINT (-79.30495628129722 43.81822650342228)
18680,634,29081,Leaside Children's House Montessori School,,PR,,839 Millwood Rd,Priv,29081,839,Millwood Rd,839 Millwood Rd,M4G 1W5,East York,Toronto,,100001,695,839,,,,252,315478.107,4840282.956,43.70442720689999,-79.36731757689999,POINT (-79.3673143483892 43.70441861037885)
18681,635,3244917,Leaside High School,,EP,Toronto District School Board,200 Hanna Rd,English Public,3244917,200,Hanna Rd,200 Hanna Rd,M4G 3N8,East York,Toronto,Leaside High School,102002,347,200,,,,187,315043.36100000003,4841027.245,43.7111326824,-79.3726973385,POINT (-79.3726941103546 43.71112408544509)
18682,636,7110840,Ledbury Park Elementary and Middle School,,EP,Toronto District School Board,95 Falkirk St,English Public,7110840,95,Falkirk St,95 Falkirk St,M5M 4K1,North York,Toronto,Ledbury Elementary Middle School,102001,7110841,95,,,,5551,310639.50800000003,4842829.048,43.7273990701,-79.4273258873,POINT (-79.42732263387681 43.72739047329951)
18683,637,50614,Leo Baeck Day School South Campus,,PR,,501 Arlington Ave,Priv,50614,501,Arlington Ave,501 Arlington Ave,M6C 3A4,York,Toronto,Arlington Middle School,102001,30088089,501,,,,412,310189.377,4838928.78,43.69228673600001,-79.432948033,POINT (-79.43294803836527 43.69228673799285)
18684,638,7792249,Leonardo Da Vinci Academy,,PR,,100 Allanhurst Dr,Priv,7792249,100,Allanhurst Dr,100 Allanhurst Dr,M9A 4K4,Etobicoke,Toronto,Leonardo Da Vinci Academy,102001,7792240,100,,,,1031,303214.017,4837578.3610000005,43.680156213500005,-79.51947679850001,POINT (-79.51947351785886 43.68014763719978)
