_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
18047,1,7963754,Avondale Public School,,EP,Toronto District School Board,25 Bunty Lane,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,314026.623,4848287.933999999,43.7765020619,-79.3851899865,POINT (-79.3851867443136 43.7764934570048)
18048,2,7315504,Avondale Secondary Alternative School,,EP,Toronto District School Board,24 Silverview Dr,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,102001,7315505,24,,,,6720,311879.691,4849375.563,43.7863151134,-79.4118464145,POINT (-79.41184315424391 43.78630651064231)
18049,3,20258267,AYJ Global Academy,,PR,,4 Lansing Sq,Priv,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,104008,438287,4,,,,6007,318854.727,4848028.516,43.774091174700004,-79.3252196357,POINT (-79.32521641206344 43.77408257070501)
18050,4,7102999,Bais Brucha School,,PR,,3077 Bathurst St,Priv,7102999,3077,Bathurst St,3077 Bathurst St,M6A 1Z9,North York,Toronto,,104008,7102975,3077,,,,436,310459.38800000004,4841999.775,43.7199359778,-79.42957024350001,POINT (-79.4295669914541 43.71992738873699)
18051,5,9171677,Bais Chaya Mushka Elementary School,,PR,,4375 Chesswood Dr,Priv,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,115001,9171675,4375,,,,5187,306600.74100000004,4846528.1680000005,43.7607168241,-79.4774452488,POINT (-79.47744198140715 43.76070822644761)
18052,6,487179,Bais Chomesh High School for Girls,,PR,,3600 Bathurst St,Priv,487179,3600,Bathurst St,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,109001,443540,3600,,,,436,310175.57300000003,4843242.529,43.7311243948,-79.4330801994,POINT (-79.43307694306819 43.73111580043862)
18053,7,559733,Bais Yaakov Elementary School,,PR,,15 Saranac Blvd,Priv,559733,15,Saranac Blvd,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,102001,444794,15,,,,6657,310273.73600000003,4842166.471,43.721429256,-79.43186944600001,POINT (-79.43186944385397 43.72142925665101)
18054,8,325461,Baitul Mukarram Academy School,,PR,,3334 Danforth Ave,Priv,325461,3334,Danforth Ave,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,,104008,112943,3334,,,,86,322668.43100000004,4839110.743,43.6937388093,-79.27814102949999,POINT (-79.27813782511569 43.69373021317836)
18055,9,9848255,Bala Avenue Community School,,EP,Toronto District School Board,6 Bala Ave,English Public,9848255,6,Bala Ave,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,102001,9848256,6,,,,428,304863.781,4838612.904,43.6894708049,-79.4990155492,POINT (-79.49901227160872 43.68946222378872)
18056,10,7667200,Balmy Beach Community School,,EP,Toronto District School Board,14 Pine Ave,English Public,7667200,14,Pine Ave,14 Pine Ave,M4E 1L6,former Toronto,Toronto,Balmy Beach Community Recreation Centre - Building Grounds,106007,14673229,14,,,,4190,321731.021,4837186.996,43.676435913,-79.28982694300001,POINT (-79.28982694149906 43.67643591948764)
18057,11,486277,Bannockburn School,,PR,,12 Bannockburn Ave,Priv,486277,12,Bannockburn Ave,12 Bannockburn Ave,M5M 2M8,North York,Toronto,,102001,443339,12,,,,4880,311060.382,4843566.259,43.734031592700006,-79.4220932728,POINT (-79.42209002149575 43.73402299715095)
18058,12,338836,Banting and Best Public School,,EP,Toronto District School Board,380 Goldhawk Trl,English Public,338836,380,Goldhawk Trl,380 Goldhawk Trl,M1V 4E7,Scarborough,Toronto,Banting & Best Public School,102001,103029,380,,,,7999,322467.285,4853878.786,43.8266729024,-79.2801537374,POINT (-79.28015052270212 43.8266642817117)
18059,13,514037,Bay School of Canada,,PR,,245 Fairview Mall Dr,Priv,514037,245,Fairview Mall Dr,245 Fairview Mall Dr,M2J 4T1,North York,Toronto,,104008,437784,245,,,,5548,317513.592,4848653.137,43.7797376599,-79.34186462,POINT (-79.34186139348733 43.77972905419198)
18060,14,487550,Baycrest Public School,,EP,Toronto District School Board,145 Baycrest Ave,English Public,487550,145,Baycrest Ave,145 Baycrest Ave,M6A 1W4,North York,Toronto,Baycrest Public School,102001,444124,145,,,,4905,309275.696,4842740.799,43.7266143694,-79.4442547605,POINT (-79.44425150736905 43.72660577721435)
18061,15,11414990,Bayview Glen,,PR,,85 Moatfield Dr,Priv,11414990,85,Moatfield Dr,85 Moatfield Dr,M3B 3L6,North York,Toronto,,115001,11415001,85,,,,6235,316714.94800000003,4846352.3719999995,43.759041163199996,-79.351836908,POINT (-79.35183368056246 43.75903255684271)
18062,16,4833178,Bayview Glen Independent School,,PR,,275 Duncan Mill Road,Priv,4833178,275,Duncan Mill Rd,275 Duncan Mill Rd,M3B 3H9,North York,Toronto,,104008,30005251,275,,,,5455,316748.728,4846560.865,43.7609172866,-79.3514128588,POINT (-79.35140962454395 43.76090868175599)
18063,17,7963754,Bayview Middle School,,EP,Toronto District School Board,25 Bunty Lane,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,314026.623,4848287.933999999,43.7765020619,-79.3851899865,POINT (-79.3851867443136 43.7764934570048)
18064,18,7586388,Beach Hebrew Institute Synagogue and School,,PR,,109 Kenilworth Ave,Priv,7586388,109,Kenilworth Ave,109 Kenilworth Ave,M4L 3S4,former Toronto,Toronto,,109001,14676088,109,,,,3763,320795.1,4836393.098,43.669319243500006,-79.3014606192,POINT (-79.30145740403096 43.66931065134581)
18065,19,876040,Beaches Alternative Jr School,,EP,Toronto District School Board,50 Swanwick Ave,English Public,876040,50,Swanwick Ave,50 Swanwick Ave,M4E 1Z5,former Toronto,Toronto,Kimberly Public School Junior,102001,14016131,50,,,,4519,320979.398,4837872.185,43.682628562299996,-79.2991310909,POINT (-79.29912788397304 43.68261997227849)
18066,20,7640837,Beacon of Light Private Elementary School,,PR,,2191 Gerrard St E,Priv,7640837,2191,Gerrard St E,2191 Gerrard St E,M4E 2C6,former Toronto,Toronto,,100001,7640834,2191,,,,3495,320842.068,4837976.335,43.6835689842,-79.3008312709,POINT (-79.30082806466207 43.68356039742329)
18067,21,1019694,Beaumonde Heights Jr Middle School,,EP,Toronto District School Board,70 Monterrey Dr,English Public,1019694,70,Monterrey Dr,70 Monterrey Dr,M9V 1T1,Etobicoke,Toronto,Beaumonde Heights Public School,102001,906829,70,,,,2134,298700.784,4844558.719,43.7429657259,-79.575533843,POINT (-79.57553053561865 43.74295713659315)
18068,22,7792874,Bedford Park Public School,,EP,Toronto District School Board,81 Ranleigh Ave,English Public,7792874,81,Ranleigh Ave,81 Ranleigh Ave,M4N 1X2,former Toronto,Toronto,Bedford Park Community Centre - Building Grounds,106007,7792835,81,,,,4253,312838.442,4842882.932,43.727854697,-79.400027618,POINT (-79.4000276203916 43.72785470192836)
18069,23,312976,Bellmere Jr Public School,,EP,Toronto District School Board,470 Brimorton Dr,English Public,312976,470,Brimorton Dr,470 Brimorton Dr,M1H 2E6,Scarborough,Toronto,Bellmere Junior Public School,102001,108018,470,,,,7437,326106.186,4847812.86,43.7719778947,-79.2351500731,POINT (-79.23514687522994 43.77196928639157)
18070,24,386802,Ben Heppner Vocal Music Academy,,EP,Toronto District School Board,80 Slan Ave,English Public,386802,80,Slan Ave,80 Slan Ave,M1G 3B5,Scarborough,Toronto,Heather Heights Junior Public School,102001,107600,80,,,,8966,327721.347,4848172.24,43.7751644912,-79.2150719134,POINT (-79.21506872644331 43.77515587842521)
18071,25,2820831,Bendale Business and Technical Institute,,EP,Toronto District School Board,1555 Midland Ave,English Public,2820831,1555,Midland Ave,1555 Midland Ave,M1P 3C1,Scarborough,Toronto,Bendale BTI,102002,2820380,1555,,,,8496,323728.787,4845958.239,43.755348364300005,-79.2647462877,POINT (-79.26474308879068 43.75533975813205)
18072,26,307066,Bendale Jr Public School,,EP,Toronto District School Board,61 Benshire Dr,English Public,307066,61,Benshire Dr,61 Benshire Dr,M1H 1M4,Scarborough,Toronto,Bendale Junior Public School,102001,108929,61,,,,7343,325325.80600000004,4846765.882,43.7625757291,-79.2448834509,POINT (-79.24488025764438 43.76256711836969)
18073,27,2945619,Bennington Heights Elementary School,,EP,Toronto District School Board,76 Bennington Heights Dr,English Public,2945619,76,Bennington Heights Dr,76 Bennington Heights Dr,M4G 1B1,East York,Toronto,Bennington Heights School,102001,2945649,76,,,,30,315299.554,4839112.214,43.693891051899996,-79.3695558663,POINT (-79.36955263335918 43.69388245738263)
18074,28,3563886,Berkeley Academy of Canada,,PR,,5734 Yonge St,Priv,3563886,5734,Yonge St,5734 Yonge St,M2M 4E7,North York,Toronto,,104008,3563885,5734,,,,4733,311476.256,4848980.483,43.7827627067,-79.41686385359999,POINT (-79.41686059795947 43.78275410571676)
18075,29,307348,Berner Trail Jr Public School,,EP,Toronto District School Board,120 Berner Trl,English Public,307348,120,Berner Trl,120 Berner Trl,M1B 1B3,Scarborough,Toronto,Berner Trail Junior Public School,106007,104808,120,,,,7349,327205.701,4851104.136,43.801570705299994,-79.2213557626,POINT (-79.22135256664484 43.80156208800121)
18076,30,17935,Bessborough Drive Elementary and Middle School,,EP,Toronto District School Board,211 Bessborough Dr,English Public,17935,211,Bessborough Dr,211 Bessborough Dr,M4G 3K2,East York,Toronto,Bessborough Drive Public School,102001,605,211,,,,33,315250.265,4840593.233,43.70722332770001,-79.3701384417,POINT (-79.37013520319442 43.70721473785419)
18077,31,535998,Beth Jacob High School for Girls,,PR,,410 Lawrence Ave W,Priv,535998,410,Lawrence Ave W,410 Lawrence Ave W,M5M 1C2,North York,Toronto,,102001,444785,410,,,,732,310927.13399999996,4842096.484,43.720802677799995,-79.4237640162,POINT (-79.42376076567849 43.72079408442217)
18078,32,555173,Beth Radom Congregation and Hebrew School,,PR,,18 Reiner Road,Priv,555173,18,Reiner Rd,18 Reiner Rd,M3H 2K9,North York,Toronto,Beth Radom Congregation,109001,441051,18,,,,6526,309694.787,4845598.073,43.7523310453,-79.439027399,POINT (-79.43902414483591 43.75232244777921)
18079,33,8608492,Beth Sholom Synagogue Congregational School,,PR,,1445 Eglinton Ave W,Priv,8608492,1445,Eglinton Ave W,1445 Eglinton Ave W,M6C 2E6,York,Toronto,Beth Sholom Synagogue,109001,8608491,1445,,,,571,309804.937,4839572.912,43.6980958645,-79.4377145597,POINT (-79.43771130463833 43.69808728087968)
18080,34,520627,Beth Torah Congregation and Hebrew School,,PR,,47 Glenbrook Ave,Priv,520627,47,Glenbrook Ave,47 Glenbrook Ave,M6B 2L7,North York,Toronto,Beth Torah Synagogue,109001,446062,47,,,,5696,308650.76,4840820.31,43.709331134399996,-79.4520247079,POINT (-79.45202144711982 43.70932254684234)
18081,35,8855298,Beth Tzedec Congregational School,,PR,,1700 Bathurst St,Priv,8855298,1700,Bathurst St,1700 Bathurst St,M5P 3K3,York,Toronto,Beth Tzedec Synagogue,109001,8855299,1700,,,,436,310876.417,4839283.338,43.6954812961,-79.4244248003,POINT (-79.42442154354906 43.69547270956394)
18082,36,363593,Bethune International Academy,,PR,,3838 Midland Ave,Priv,363593,3838,Midland Ave,3838 Midland Ave,M1V 5K5,Scarborough,Toronto,,107005,103479,3838,,,,8496,321295.57300000003,4853069.24,43.819412874300006,-79.2947459777,POINT (-79.29474276028579 43.81940425874147)
18083,37,11485082,Bethune Memorial School,,PR,,3000 Lawrence Ave E,Priv,11485082,3000,Lawrence Ave E,3000 Lawrence Ave E,M1P 2V1,Scarborough,Toronto,,115001,11485062,3000,,,,3828,324948.189,4845958.018,43.7553144842,-79.2496034383,POINT (-79.24960023935365 43.75530587640844)
18084,38,570175,Beverley Heights Middle School,,EP,Toronto District School Board,26 Troutbrooke Dr,English Public,570175,26,Troutbrooke Dr,26 Troutbrooke Dr,M3M 1S5,North York,Toronto,Beverly Heights Middle School,102001,443483,26,,,,6946,304399.894,4843452.416999999,43.733033191400004,-79.50477500550001,POINT (-79.50477171973053 43.73302459699246)
18085,39,6350055,Beverley School,,EP,Toronto District School Board,64 Baldwin St,English Public,6350055,64,Baldwin St,64 Baldwin St,M5T 1L4,former Toronto,Toronto,Beverley Public School,115001,1144586,64,,,,2938,313196.655,4834874.475,43.6557738212,-79.3957083394,POINT (-79.39570510335652 43.65576523686583)
18086,40,307817,Beverly Glen Jr Public School,,EP,Toronto District School Board,85 Beverly Glen Blvd,English Public,307817,85,Beverly Glen Blvd,85 Beverly Glen Blvd,M1W 1W4,Scarborough,Toronto,Beverly Glen Junior Public School,102001,14229540,85,,,,7356,319021.936,4850758.614,43.7986617097,-79.3230708612,POINT (-79.32306762989282 43.79865309986788)
18087,41,14615528,Bialik Hebrew Day School,,PR,,2760 Bathurst St,Priv,14615528,2760,Bathurst St,2760 Bathurst St,M6B 3A1,North York,Toronto,,102005,8985217,2760,,,,436,310576.632,4840975.471,43.7107150166,-79.4281261382,POINT (-79.42812288770601 43.71070642885805)
18088,42,772989,Bickford Centre,,EP,Toronto District School Board,777 Bloor St W,English Public,772989,777,Bloor St W,777 Bloor St W,M6G 1L6,former Toronto,Toronto,Bickford Center,102002,30039622,777,,,,458,311249.712,4835612.771000001,43.662429984,-79.41983401899999,POINT (-79.41983401610916 43.66242998489336)
18089,43,343964,Birch Cliff Heights Public School,,EP,Toronto District School Board,120 Highview Ave,English Public,343964,120,Highview Ave,120 Highview Ave,M1N 2J1,Scarborough,Toronto,Birch Cliff Heights Public School,102001,112688,120,,,,9828,324142.669,4840004.865,43.701749990799996,-79.2598198285,POINT (-79.259816624788 43.70174139375371)
18090,44,351953,Birch Cliff Public School,,EP,Toronto District School Board,1650 Kingston Rd,English Public,351953,1650,Kingston Rd,1650 Kingston Rd,M1N 1S2,Scarborough,Toronto,Birch Cliff Public School,102001,113039,1650,,,,3786,323682.151,4838920.058,43.691997318,-79.2655718249,POINT (-79.26556862429615 43.6919887241508)
18091,45,7156751,Birchas Shmuel Private School,,PR,,465 Patricia Ave,Priv,7156751,465,Patricia Ave,465 Patricia Ave,M2R 2N1,North York,Toronto,Synagogue,109001,7156868,465,,,,6386,309290.857,4849126.685,43.784095307799994,-79.4440139914,POINT (-79.44401072601372 43.78408670680109)
18092,46,325504,Birchmount Park Collegiate Institute,,EP,Toronto District School Board,3663 Danforth Ave,English Public,325504,3663,Danforth Ave,3663 Danforth Ave,M1N 2G2,Scarborough,Toronto,Birchmount Park Collegiate Institute,102002,112815,3663,,,,86,324173.147,4839561.8610000005,43.6977616234,-79.25945772189999,POINT (-79.2594545253619 43.697753029491)
18093,47,13503328,Birmingham Academy,,PR,,201 Consumers Rd,Priv,13503328,201,Consumers Rd,201 Consumers Rd,M2J 4G8,North York,Toronto,,104008,438551,201,,,,5264,318289.039,4847807.243,43.772109979899994,-79.3322520985,POINT (-79.33224886745532 43.77210137573657)
18094,48,800729,Birmingham International Collegiate of Canada,,PR,,90 Eglinton Ave W,Priv,800729,90,Eglinton Ave W,90 Eglinton Ave W,M4R 2E4,former Toronto,Toronto,,104008,1138348,90,,,,571,312749.297,4840504.063,43.7064511662,-79.4011723296,POINT (-79.40116908460989 43.70644257274991)
18095,49,10142921,Bishop Allen Academy,,ES,Toronto Catholic District School Board,721 Royal York Road,English Separate,10142921,721,Royal York Rd,721 Royal York Rd,M8Y 2T3,Etobicoke,Toronto,Bishop Allen Academy,102004,10142922,721,,,,2413,304423.768,4832498.912,43.6344364929,-79.5044679526,POINT (-79.50446468806953 43.63442792057788)
18096,50,30024946,Bishop Macdonell Catholic Elementary School,,ES,Toronto Catholic District School Board,20 Brunel Court,English Separate,30024946,20,Brunel Crt,20 Brunel Crt,,former Toronto,Toronto,,114001,20035049,20,,,,18312,313296.451,4833062.721,43.639456816999996,-79.39449689199999,POINT (-79.39449688582066 43.6394568233632)
18097,51,9638444,Bishop Marrocco Thomas Merton Catholic Secondary School,,ES,Toronto Catholic District School Board,1515 Bloor St W,English Separate,9638444,1515,Bloor St W,1515 Bloor St W,M6P 1A3,former Toronto,Toronto,Bishop Marrocco/Thomas Merton C S,102004,9638443,1515,,,,458,308671.405,4834880.699,43.655866413599995,-79.4518109669,POINT (-79.45180771366265 43.655857833558)
18098,52,834715,Bishop Strachan School,,PR,,298 Lonsdale Rd,Priv,834715,298,Lonsdale Rd,298 Lonsdale Rd,M4V 1X2,former Toronto,Toronto,,102001,1139289,298,,,,3870,312093.964,4838714.911,43.6903536937,-79.4093281599,POINT (-79.40932491763706 43.69034510770499)
18099,53,490154,Blacksmith Public School,,EP,Toronto District School Board,45 Blacksmith Cres,English Public,490154,45,Blacksmith Cres,45 Blacksmith Cres,M3N 1V5,North York,Toronto,Blacksmith Elementary School - Building Grounds,102001,30092674,45,,,,4965,302625.908,4847689.881,43.771163953999995,-79.52681069,POINT (-79.52681068698386 43.77116395916372)
18100,54,774626,Blake St Jr Public School,,EP,Toronto District School Board,21 Boultbee Ave,English Public,774626,21,Boultbee Ave,21 Boultbee Ave,M4J 1A7,former Toronto,Toronto,Blake Street Public School,102001,1141613,21,,,,3038,317809.321,4836663.949,43.6718149548,-79.3384794702,POINT (-79.33847625008319 43.67180636896359)
18101,55,309574,Blantyre Public School,,EP,Toronto District School Board,290 Blantyre Ave,English Public,309574,290,Blantyre Ave,290 Blantyre Ave,M1N 2S4,Scarborough,Toronto,Blantyre Public School,102001,113172,290,,,,7377,322209.311,4838150.773,43.6851086748,-79.2838678574,POINT (-79.28386465311075 43.68510008439513)
18102,56,490361,Blaydon Public School,,EP,Toronto District School Board,25 Blaydon Ave,English Public,490361,25,Blaydon Ave,25 Blaydon Ave,M3M 2C9,North York,Toronto,Blaydon Public School,102001,30085278,25,,,,4974,305891.397,4843711.635,43.735357223,-79.486256135,POINT (-79.48625613911385 43.73535722283597)
18103,57,2917611,Blessed Archbishop Romero Catholic Secondary School,,ES,Toronto Catholic District School Board,99 Humber Blvd,English Separate,2917611,99,Humber Blvd,99 Humber Blvd,M6N 2H4,York,Toronto,Archbishop Romero Catholic Secondary School - Building Grounds,102002,2884873,99,,,,9746,306332.43,4837598.803,43.680332871000005,-79.48079681600001,POINT (-79.48079681382607 43.68033287596893)
18104,58,14258325,Blessed Cardinal Newman Catholic High School,,ES,Toronto Catholic District School Board,100 Brimley Rd S,English Separate,14258325,100,Brimley Rd S,100 Brimley Rd S,M1M 3X4,Scarborough,Toronto,Cardinal Newman Secondary School,102004,30029505,100,,,,10496,325730.07300000003,4841473.944,43.714922261000005,-79.240064233,POINT (-79.24006423221937 43.71492226578011)
18105,59,2250071,Blessed Margherita of Citta Di Castello Catholic Elementary School,,ES,Toronto Catholic District School Board,108 Spenvalley Dr,English Separate,2250071,108,Spenvalley Dr,108 Spenvalley Dr,M3L 1Z5,North York,Toronto,Blessed Margherita Of Citta Di Castello C S,102003,30092921,108,,,,6763,304146.907,4844635.35,43.743672468999996,-79.507914048,POINT (-79.50791404437132 43.74367247246779)
18106,60,30012333,Blessed Pier Giorgio Frassati Catholic Elementary School,,ES,Toronto Catholic District School Board,8 Seasons Dr,English Separate,30012333,8,Seasons Dr,8 Seasons Dr,M1X 1X4,Scarborough,Toronto,Blessed Pier Giorgio Frassati Catholic School(proposed),102004,30062578,8,,,,16909,326279.547,4854246.616,43.829875203,-79.232737525,POINT (-79.23273751912565 43.8298752034525)
18107,61,6709986,Blessed Pope Paul VI Catholic Elementary School,,ES,Toronto Catholic District School Board,270 Laughton Ave,English Separate,6709986,270,Laughton Ave,270 Laughton Ave,M6N 2X8,former Toronto,Toronto,Pope Paul Catholic School,102003,6709987,270,,,,3823,308187.521,4836897.338,43.6740214864,-79.4577962888,POINT (-79.45779302882777 43.67401290180634)
18108,62,7763002,Blessed Sacrament Catholic Elementary School,,ES,Toronto Catholic District School Board,24 Bedford Park Ave,English Separate,7763002,24,Bedford Park Ave,24 Bedford Park Ave,M5M 1H9,former Toronto,Toronto,Blessed Sacrament Catholic School,102003,14036649,24,,,,2976,312518.664,4842841.106000001,43.727490205600006,-79.404000764,POINT (-79.40399751537046 43.72748161037987)
18109,63,9602629,Blessed Trinity Catholic Elementary School,,ES,Toronto Catholic District School Board,3205 Bayview Ave,English Separate,9602629,3205,Bayview Ave,3205 Bayview Ave,M2K 1G3,North York,Toronto,Blessed Trinity Catholic School,115001,9531471,3205,,,,24,313490.68,4849443.089,43.7869061505,-79.3918294528,POINT (-79.39182619998907 43.78689754361753)
18110,64,306063,Bliss Carman Sr Public School,,EP,Toronto District School Board,10 Bellamy Rd S,English Public,306063,10,Bellamy Rd S,10 Bellamy Rd S,M1M 3N8,Scarborough,Toronto,Bliss Carman Senior Public School,102001,14245815,10,,,,7314,326888.963,4843447.054,43.732657563500005,-79.2256050718,POINT (-79.22560187861467 43.73264896295099)
18111,65,6710176,Bloor Collegiate Institute,,EP,Toronto District School Board,1141 Bloor St W,English Public,6710176,1141,Bloor St W,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,Bloor Collegiate Institute,102002,6710177,1141,,,,458,309923.333,4835292.483,43.6595660096,-79.4362860846,POINT (-79.43628284052861 43.65955743121032)
18112,66,8432037,Bloordale Middle School,,EP,Toronto District School Board,10 Toledo Rd,English Public,8432037,10,Toledo Rd,10 Toledo Rd,M9C 2H3,Etobicoke,Toronto,Bloordale Middle Public School,106007,30009321,10,,,,2640,298979.26300000004,4833025.438,43.6391542176,-79.5719498198,POINT (-79.57194653006511 43.63914564891532)
18113,67,8731366,Bloorlea Middle School,,EP,Toronto District School Board,4050 Bloor St W,English Public,8731366,4050,Bloor St W,4050 Bloor St W,M9B 1M5,Etobicoke,Toronto,Bloorlea Middle Public School,102001,8731343,4050,,,,458,300322.095,4832843.912,43.6375294592,-79.5553048364,POINT (-79.55530154668085 43.63752088324162)
18114,68,12601205,Bloorview School Authority,,PR,,150 Kilgour Rd,Priv,12601205,150,Kilgour Rd,150 Kilgour Rd,M4G 1R8,North York,Toronto,Bloorview Hugh Macmillan Centre,101001,20079268,150,,,,18055,315020.435,4841836.596,43.718418191000005,-79.3729662214,POINT (-79.37296298760887 43.7184095981531)
18115,69,10223858,Blue Butterfly Montessori School,,PR,,300 Richmond St W,Priv,10223858,300,Richmond St W,300 Richmond St W,M5V 1X2,former Toronto,Toronto,,115001,10223853,300,,,,4277,313524.011,4834138.048,43.6491414488,-79.3916621168,POINT (-79.39165887692806 43.64913286518896)
18116,70,30054504,Blue Gene Education School,,PR,,11A Glen Watford Dr,Priv,30054504,11A,Glen Watford Dr,11A Glen Watford Dr,M1S 2B8,Scarborough,Toronto,,115001,7009470,11,A,,,7984,322843.462,4849437.401000001,43.786678096,-79.275621048,POINT (-79.27562105174158 43.78667809638736)
18117,71,30013984,Blyth Academy,,PR,,160 Avenue Rd,Priv,30013984,160,Avenue Rd,160 Avenue Rd,M5R 2H8,former Toronto,Toronto,,112001,14014449,160,,,,2924,313085.443,4837035.256,43.675216508000005,-79.39705084,POINT (-79.39705083371453 43.67521650910631)
18118,72,13494887,Blyth Academy School - Downsview Park,,PR,,75 Carl Hall Rd,Priv,13494887,75,Carl Hall Rd,75 Carl Hall Rd,M3K 2B9,North York,Toronto,,110001,30110452,75,,,,11506,306789.92,4845073.478,43.74761375,-79.475097405,POINT (-79.47509740589619 43.74761375210755)
18119,73,8265336,Blyth Academy School - Etobicoke,,PR,,2489 Bloor St W,Priv,8265336,2489,Bloor St W,2489 Bloor St W,M6S 1R6,former Toronto,Toronto,,115001,8265335,2489,,,,458,305869.631,4833965.864,43.6476404066,-79.4865470993,POINT (-79.48654383616521 43.6476318294668)
18120,74,8566068,Blyth Academy School - Lawrence Park,,PR,,2660 Yonge St,Priv,8566068,2660,Yonge St,2660 Yonge St,M4P 2J5,former Toronto,Toronto,,115001,8566053,2660,,,,4733,312794.527,4841567.365,43.716021675,-79.40059538130001,POINT (-79.40059213610563 43.71601308097479)
18121,75,13502901,Blyth Academy School - Yorkville,,PR,,85 St Nicholas St,Priv,13502901,85,St Nicholas St,85 St Nicholas St,M4Y 1W8,former Toronto,Toronto,,115001,7754192,85,,,,4468,313919.818,4836265.164,43.668283107600004,-79.3867195804,POINT (-79.38671634321612 43.66827452492053)
18122,76,7754014,Blythwood Jr Public School,,EP,Toronto District School Board,2 Strathgowan Cres,English Public,7754014,2,Strathgowan Cres,2 Strathgowan Cres,M4N 2Z5,former Toronto,Toronto,Blythwood Junior Public School,102001,7754013,2,,,,4499,313687.282,4842003.7930000005,43.7199400886,-79.38950895100001,POINT (-79.38950570844138 43.71993149888084)
18123,77,9011164,Bnos Bais Yaakov School for Girls,,PR,,2949 Bathurst St,Priv,9011164,2949,Bathurst St,2949 Bathurst St,M6B 3B2,North York,Toronto,,115001,9011161,2949,,,,436,310519.872,4841622.344,43.7165381718,-79.4288235984,POINT (-79.42882034176347 43.71652958302434)
18124,78,13973547,Bnos Chaya,,PR,,4116 Bathurst St,Priv,13973547,4116,Bathurst St,4116 Bathurst St,M3H 3P2,North York,Toronto,,115001,30093417,4116,,,,436,309891.544,4844942.007,43.746415666000004,-79.436586924,POINT (-79.43658692599045 43.74641566530347)
18125,79,30113976,Boardwalk Montessori School,,PR,,1975B Queen St E,Priv,30113976,1975B,Queen St E,1975B Queen St E,M4L 1J1,former Toronto,Toronto,,115001,7683440,1975,B,,,4237,320869.568,4836427.24,43.669616327,-79.30053294,POINT (-79.30053294323018 43.6696163293087)
18126,80,826229,Bon Berger Catholic Elementary School,,FS,Conseil scolaire de district catholique Centre-Sud,343 Jones Ave,French Separate,826229,343,Jones Ave,343 Jones Ave,M4J 3G4,former Toronto,Toronto,St. William,102003,1141641,343,,,,3752,317958.789,4836748.415,43.672564037,-79.336620629,POINT (-79.33662062369308 43.67256403779984)
18127,81,308612,Bond Academy School,,PR,,1500 Birchmount Rd,Priv,308612,1500,Birchmount Rd,1500 Birchmount Rd,M1P 2G5,Scarborough,Toronto,,113001,109545,1500,,,,7365,321669.498,4846084.23,43.756531816400006,-79.2903149245,POINT (-79.29031171426738 43.75652321695099)
18128,82,6361762,Bowmore Road Jr and Sr Public School,,EP,Toronto District School Board,80 Bowmore Rd,English Public,6361762,80,Bowmore Rd,80 Bowmore Rd,M4L 3J2,former Toronto,Toronto,Bowmore Public School - Building Grounds,102001,6355883,80,,,,3044,319742.33,4837140.935,43.676063663,-79.314491719,POINT (-79.31449171535785 43.67606366479596)
18129,83,1003702,Boys Leadership Academy,,EP,Toronto District School Board,45 Golfdown Dr,English Public,1003702,45,Golfdown Dr,45 Golfdown Dr,M9W 2H8,Etobicoke,Toronto,The Elms Pool And Community School - Building Grounds,106007,907618,45,,,,1690,300585.337,4842254.301,43.722227299,-79.552113787,POINT (-79.5521137885613 43.72222729776797)
18130,84,1035925,Braeburn Jr School,,EP,Toronto District School Board,15 Tandridge Cres,English Public,1035925,15,Tandridge Cres,15 Tandridge Cres,M9W 2N8,Etobicoke,Toronto,Braeburn Public School,102001,907479,15,,,,2579,300847.586,4842898.7530000005,43.7280384161,-79.5488671034,POINT (-79.54886381333725 43.72802982738915)
